Binomial,Intro,Est,Spread,NoLocs,LG,BM,GT,WA,NBM,LS,LY,AFB,RL,OV
Akodon_juninensis,0,NA,NA,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_kofordi,0,NA,NA,NA,NA,29.49,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_latebricola,0,NA,NA,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_lindberghi,0,NA,NA,NA,NA,26.4,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_lutescens,0,NA,NA,NA,NA,20.69,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_mimus,0,NA,NA,NA,NA,23.99,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_molinae,0,NA,NA,NA,NA,32.99,23,26,2.94,3.77,NA,91.25,NA,NA
Akodon_mollis,0,NA,NA,NA,NA,30.39,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_neocenus,0,NA,NA,NA,NA,42.39,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_orophilus,0,NA,NA,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_sanctipaulensis,0,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_serrensis,0,NA,NA,NA,NA,28.3,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_siberiae,0,NA,NA,NA,NA,34.6,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_simulator,0,NA,NA,NA,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_spegazzinii,0,NA,NA,NA,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_subfuscus,0,NA,NA,NA,NA,30.39,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_surdus,0,NA,NA,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_sylvanus,0,NA,NA,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_toba,0,NA,NA,NA,NA,51.2,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_torques,0,NA,NA,NA,NA,38.99,NA,NA,NA,NA,NA,NA,NA,NA
Akodon_varius,0,NA,NA,NA,NA,40,NA,NA,NA,3,NA,NA,NA,NA
Alcelaphus_buselaphus,0,NA,NA,NA,22.5,160937.86,242.66,188.73,12500,1,NA,927.7,7284.8,NA
Alcelaphus_caama,0,NA,NA,NA,15.33,176115.97,NA,NA,NA,NA,NA,NA,NA,NA
Alcelaphus_lichtensteinii,0,NA,NA,NA,NA,168695.66,237,NA,15000,0.98,NA,730,NA,NA
Alces_alces,1,1,0,6,27,461900.76,235,98.85,12999.99,1.25,1.7,1216.66,8638.34,0.024854993
Alces_americanus,0,NA,NA,NA,25,541460.44,245,182.5,13499.99,1,NA,NA,NA,NA
Alionycteris_paucidentata,0,NA,NA,NA,NA,16.24,NA,NA,NA,NA,NA,NA,NA,NA
Allactaga_bullata,0,NA,NA,NA,NA,NA,NA,NA,NA,2.52,NA,NA,NA,NA
Allactaga_elater,0,NA,NA,NA,5.2,59,NA,32.31,NA,4.47,2,142.0458333,1755.954167,0.103932098
Allactaga_euphratica,0,NA,NA,NA,4.2,232,NA,NA,NA,4.99,NA,NA,NA,NA
Allactaga_major,0,NA,NA,NA,7,NA,NA,45.36,NA,3.49,NA,NA,NA,NA
Allactaga_severtzovi,0,NA,NA,NA,NA,NA,NA,NA,NA,3.93,NA,NA,NA,NA
Allactaga_sibirica,0,NA,NA,NA,4.5,117.5,NA,NA,NA,3.44,1,NA,NA,NA
Allactaga_tetradactyla,0,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA
Allactodipus_bobrinskii,0,NA,NA,NA,NA,NA,NA,NA,NA,5.15,NA,NA,NA,NA
Allenopithecus_nigroviridis,0,NA,NA,NA,27,4749.96,NA,106.15,240.71,1.01,NA,NA,NA,NA
Allocebus_trichotis,0,NA,NA,NA,NA,78.09,NA,NA,NA,1,1,NA,NA,NA
Allocricetulus_curtatus,0,NA,NA,NA,NA,NA,NA,NA,NA,5.19,NA,NA,NA,NA
Allocricetulus_eversmanni,0,NA,NA,NA,NA,NA,NA,NA,NA,4.99,2,NA,NA,NA
Alouatta_belzebul,0,NA,NA,NA,NA,6157.91,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_caraya,0,NA,NA,NA,32.4,5576.96,185.92,323.16,260.6,1.01,0.98,1354.15,10471.85,0.035566684
Alouatta_guariba,0,NA,NA,NA,NA,5188.33,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_palliata,0,NA,NA,NA,25,6576.99,185.42,495.6,318.29,1.02,0.6,1382.13,7742.87,0.078566905
Alouatta_pigra,0,NA,NA,NA,20,7172.06,185.92,NA,480,1.01,NA,NA,NA,NA
Alouatta_sara,0,NA,NA,NA,NA,6611.04,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta_seniculus,0,NA,NA,NA,25,6398.31,189.9,370.04,293.42,1.42,NA,1671.7,7453.3,NA
Alticola_argentatus,0,NA,NA,NA,NA,37.69,NA,NA,NA,4.57,3,NA,NA,NA
Alticola_roylei,0,NA,NA,NA,NA,37,NA,NA,NA,5.44,10,NA,NA,NA
Alticola_semicanus,0,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alticola_stoliczkanus,0,NA,NA,NA,NA,30.14,NA,NA,NA,7.77,NA,NA,NA,NA
Alticola_strelzowi,0,NA,NA,NA,NA,49.99,20.85,17,3,6.9,2.25,NA,NA,NA
Amblysomus_hottentotus,0,NA,NA,NA,1,62.6,NA,NA,4.5,1.86,2,NA,NA,NA
Ametrida_centurio,0,NA,NA,NA,NA,10.61,NA,NA,NA,0.98,NA,NA,NA,NA
Ammodillus_imbellis,0,NA,NA,NA,NA,49.99,NA,NA,NA,NA,NA,NA,NA,NA
Ammodorcas_clarkei,0,NA,NA,NA,3,28049.81,200,NA,NA,1,NA,NA,NA,NA
Ammospermophilus_harrisii,0,NA,NA,NA,10.6,126.57,29.19,48.63,3.59,6.32,1,319.375,3549.625,0.102827763
Ammospermophilus_interpres,0,NA,NA,NA,NA,112.53,NA,NA,NA,9.36,1.25,NA,NA,NA
Ammospermophilus_leucurus,0,NA,NA,NA,11.2,103.92,29.38,64.51,2.9,8,1.25,365,3723,0.078431373
Ammospermophilus_nelsoni,0,NA,NA,NA,5.666666667,160.42,26,29.83,4.87,8.9,1,NA,NA,NA
Ammotragus_lervia,1,1,1,19,21.7,94202.22,156.24,121.66,4500,1.22,2,407.58,7512.92,0.024291487
Amorphochilus_schnablii,0,NA,NA,NA,NA,NA,NA,NA,NA,0.99,1,NA,NA,NA
Anathana_ellioti,0,NA,NA,NA,NA,160,NA,NA,NA,4.84,NA,NA,NA,NA
Andalgalomys_olrogi,0,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA,NA,NA,NA
Andalgalomys_pearsoni,0,NA,NA,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA
Andinomys_edax,0,NA,NA,NA,NA,69.75,NA,NA,NA,2.91,NA,NA,NA,NA
Anisomys_imitator,0,NA,NA,NA,NA,510.5,NA,NA,NA,NA,NA,NA,NA,NA
Anomalurus_beecrofti,0,NA,NA,NA,NA,479.07,NA,NA,NA,0.98,NA,NA,NA,NA
Anomalurus_derbianus,0,NA,NA,NA,NA,665.84,NA,NA,NA,1,2,NA,NA,NA
Anomalurus_pelii,0,NA,NA,NA,NA,1769.99,NA,NA,NA,2.5,2,NA,NA,NA
Anomalurus_pusillus,0,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA
Anotomys_leander,0,NA,NA,NA,NA,66.39,NA,NA,NA,0.97,NA,NA,NA,NA
Anoura_caudifer,0,NA,NA,NA,NA,10.81,107.97,NA,2.14,0.99,NA,NA,NA,NA
Anoura_cultrata,0,NA,NA,NA,NA,17.39,NA,NA,3.65,1.22,NA,NA,NA,NA
Anoura_geoffroyi,0,NA,NA,NA,10,15.15,125.14,62.5,4.99,0.99,1,NA,NA,NA
Anoura_latidens,0,NA,NA,NA,NA,15.06,NA,NA,NA,NA,NA,NA,NA,NA
Anourosorex_squamipes,0,NA,NA,NA,NA,20,NA,NA,NA,2.82,NA,NA,NA,NA
Antechinomys_laniger,0,NA,NA,NA,3.5,25.57,11.74,91.24,NA,5.99,1.5,NA,NA,NA
Antechinus_bellus,0,NA,NA,NA,3.4,38.73,30,95,NA,10.08,1,NA,NA,NA
Antechinus_flavipes,0,NA,NA,NA,3.9,44.33,28,89.74,NA,8.54,1,NA,NA,NA
Antechinus_godmani,0,NA,NA,NA,NA,75.74,NA,111.68,NA,4.58,1,NA,NA,NA
Antechinus_leo,0,NA,NA,NA,2,70.09,30.99,76.78,NA,8.19,1,NA,NA,NA
Antechinus_minimus,0,NA,NA,NA,2,52.56,29.27,99.1,0.03,7.19,1,NA,NA,NA
Antechinus_stuartii,0,NA,NA,NA,5.4,29.01,28.15,89.74,0.01,6.89,1,NA,NA,NA
Antechinus_swainsonii,0,NA,NA,NA,3.3,58.69,29.69,105.66,NA,8.24,1,NA,NA,NA
Antidorcas_marsupialis,0,NA,NA,NA,10,33571.24,169.49,57.45,3841.48,1,1,311.368464,3338.631536,0.10932623
Antilocapra_americana,1,1,0,3,15.5,47450.01,247.99,87.54,3454.7,1.93,1,365,5292.5,0.068965517
Antilope_cervicapra,1,1,1,9,23.9,36301.1,166.59,59.5,3386.14,1.22,2,669.16,8054.34,0.022658592
Antrozous_pallidus,0,NA,NA,NA,14.8,22.24,59.01,61.1,3.09,1.78,NA,NA,NA,NA
Aonyx_capensis,0,NA,NA,NA,14.2,19322.22,62.99,53.22916667,NA,2.62,NA,365,4818,NA
Aonyx_cinerea,0,NA,NA,NA,10.08333333,3527.59,63.31,79.54,56.01,1.47,2,NA,NA,NA
Aotus_azarae,0,NA,NA,NA,30,929.57,NA,229.69,NA,1,1,NA,NA,NA
Aotus_hershkovitzi,0,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA
Aotus_lemurinus,0,NA,NA,NA,33.8,865.96,132.23,74.57,97.47,1.01,1,NA,NA,NA
Aotus_miconax,0,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA
Aotus_nancymaae,0,NA,NA,NA,NA,791.03,NA,NA,NA,1.02,NA,NA,NA,NA
Aotus_nigriceps,0,NA,NA,NA,NA,1057,NA,NA,NA,NA,NA,NA,NA,NA
Aotus_trivirgatus,0,NA,NA,NA,30.1,912.4,133.47,76.21,96.49,1.06,NA,883.3,10103.2,NA
Aotus_vociferans,0,NA,NA,NA,22.1,872.99,NA,NA,NA,1.02,NA,NA,NA,NA
Aplodontia_rufa,0,NA,NA,NA,10,806.21,30,58.4,23.12,2.46,1,730,2920,0.125
Apodemus_agrarius,0,NA,NA,NA,4,21.11,19.89,26.76666667,1.8,5.64,3.5,76.04166667,1383.958333,0.075353218
Apodemus_argenteus,0,NA,NA,NA,5,NA,NA,NA,NA,4.12,NA,60.83333333,1764.166667,NA
Apodemus_flavicollis,0,NA,NA,NA,4.5,31.6,24.5,22.20416667,2.3,4.94,3,50.79583333,1591.704167,0.07643799
Apodemus_mystacinus,0,NA,NA,NA,NA,43.84,23,26.76666667,3,3.88,2,NA,NA,NA
Apodemus_peninsulae,0,NA,NA,NA,4.4,32.9,NA,NA,2,4.41,NA,NA,NA,NA
Apodemus_semotus,0,NA,NA,NA,NA,25.77,NA,NA,NA,3.56,NA,NA,NA,NA
Apodemus_speciosus,0,NA,NA,NA,5.3,43.75,NA,NA,NA,4.47,NA,NA,NA,NA
Apodemus_sylvaticus,1,1,NA,5,6.3,21.9,23.68,19.36,1.5,5.16,3.75,85,2214.5,0.043952736
Apodemus_uralensis,0,NA,NA,NA,NA,18.26,NA,NA,NA,5.72,NA,NA,NA,NA
Apodemus_witherbyi,0,NA,NA,NA,NA,20.66,NA,NA,NA,NA,NA,NA,NA,NA
Apomys_abrae,0,NA,NA,NA,NA,34.88,NA,NA,NA,NA,NA,NA,NA,NA
Apomys_datae,0,NA,NA,NA,NA,34.88,NA,NA,NA,NA,NA,NA,NA,NA
Apomys_hylocetes,0,NA,NA,NA,NA,34.88,NA,NA,NA,NA,NA,NA,NA,NA
Apomys_insignis,0,NA,NA,NA,NA,34.88,NA,NA,NA,NA,NA,NA,NA,NA
Apomys_littoralis,0,NA,NA,NA,NA,30.95,NA,NA,NA,NA,NA,NA,NA,NA
Apomys_microdon,0,NA,NA,NA,NA,34.98,NA,NA,NA,NA,NA,NA,NA,NA
Apomys_musculus,0,NA,NA,NA,NA,21.2,NA,NA,NA,NA,NA,NA,NA,NA
Apomys_sacobianus,0,NA,NA,NA,NA,34.88,NA,NA,NA,NA,NA,NA,NA,NA
Aproteles_bulmerae,0,NA,NA,NA,NA,623.91,NA,NA,NA,1,1,NA,NA,NA
Arborimus_albipes,0,NA,NA,NA,NA,23,NA,NA,NA,2.73,NA,NA,NA,NA
Arborimus_longicaudus,0,NA,NA,NA,NA,22.39,28.11,30.49,2.49,2.91,NA,NA,NA,NA
Arborimus_pomo,0,NA,NA,NA,NA,32.49,32.33,35.29,2.39,2,NA,NA,NA,NA
Archboldomys_luzonensis,0,NA,NA,NA,NA,35.34,NA,NA,NA,NA,NA,NA,NA,NA
Arctictis_binturong,0,NA,NA,NA,27,12999.99,92.24,117.57,317.35,2.5,2,922.8416667,8932.158333,0.020431792
Arctocebus_aureus,0,NA,NA,NA,NA,234.16,NA,NA,NA,NA,NA,NA,NA,NA
Arctocebus_calabarensis,0,NA,NA,NA,13,258.01,133.74,109.26,31.82,1.01,1.5,417.92,4327.08,0.056234998
Arctocephalus_australis,0,NA,NA,NA,30.6,67979.43,246.38,365,4449.71,1,1,1095,10074,0.036231884
Arctocephalus_forsteri,0,NA,NA,NA,15,101249.99,242.47,323.72,3700,1,1,1825,3650,0.1
Arctocephalus_galapagoensis,0,NA,NA,NA,22,39448.04,215.94,821.25,3499.99,1,0.5,1277.5,6752.5,0.108108108
Arctocephalus_gazella,0,NA,NA,NA,23,96599.99,294.69,116.28,5794.63,1,1,1277.5,7117.5,0.051282051
Arctocephalus_philippii,0,NA,NA,NA,NA,94999.99,NA,NA,NA,1,NA,NA,NA,NA
Arctocephalus_pusillus,0,NA,NA,NA,32.1,178500,357.99,356.3,5750,1,1,1095,10621.5,0.034364261
Arctocephalus_townsendi,0,NA,NA,NA,24,101063.71,NA,328.13,NA,1,NA,NA,NA,NA
Arctocephalus_tropicalis,0,NA,NA,NA,23,92222.55,241.69,304.16,4347.41,1.4,1,NA,NA,NA
Arctogalidia_trivirgata,0,NA,NA,NA,16.1,2323.79,45.95,49.41,NA,2.79,2,1095,4781.5,0.038167939
Arctonyx_collaris,0,NA,NA,NA,15.8,8166.52,42.89,165.64,58,3,NA,NA,NA,NA
Ardops_nichollsi,0,NA,NA,NA,NA,19.23,NA,NA,2.52,0.99,2,NA,NA,NA
Arielulus_circumdatus,0,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_amplus,0,NA,NA,NA,NA,61.04,NA,NA,NA,NA,NA,NA,NA,NA
Artibeus_anderseni,0,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA
