Species,BM,WM,DT,RLS,LS,LPY
Callithrix_flaviceps,372.97,96.8,415,7841.958335,2,2
Callithrix_geoffroyi,342,96.8,415,7841.958335,2,2
Callithrix_humeralifera,374.99,96.8,377.99,7841.958335,2.24,2
Callithrix_intermedia,343.2,96.8,377.8,7841.958335,2,2
Callithrix_jacchus,290.21,96.8,494.86,7766.9,2.31,2
Callithrix_kuhlii,374.99,96.8,415,7841.958335,2,2
Callithrix_penicillata,339.98,96.8,415,7841.958335,2,2
Callithrix_pygmaea,123.94,70,749.68,5948.59,1.93,1.56
Callorhinus_ursinus,55464.82,12110,1379.66952,9461.64048,1.04,0.5
Calomys_boliviae,27,13.15,29.77352,104.3183735,4.985,3
Caloprymnus_campestris,2005,707.635,170.16,5435.545,1.01,1.5
Caluromys_philander,246.47,56.065,214.93,2913.92,4.18,2
Camelus_dromedarius,492714.47,253484,1262.24,12948.38,0.98,1
Canis_latrans,11989.1,1517,321.29,7592,5.72,1
Canis_lupus,31756.51,5250,502.68,10220,4.98,2
Cansumys_canus,97.5,42,36.45724,1773.78158,5.09,3.21
Capra_caucasica,58149.52,15691.695,707.33264,7249.55136,1.09,0.89
Capra_ibex,69546.83,15691.695,800.75,7227,1.11,0.75
Capra_nubiana,47763.72,15691.695,589.5,7321.73,1,0.8
Capra_sibirica,130000,15691.695,568.73,7342.5,1.18,0.8
Capra_walie,100144.02,15691.695,568.73,7342.5,1,0.8
Capreolus_capreolus,22502.01,8692.5,650.25,5657.5,1.79,1
Capreolus_pygargus,41371.03,8692.5,321.36,5974.5,2,1
Carollia_perspicillata,19.23,12.5,374.99,5794.38,1,2
Castor_fiber,19000,4199.995,852.32,11862.5,2.95,1
Cavia_aperea,524.38,171.05,53.35666667,2115.783333,2.14,5
Cavia_porcellus,727.99,212.67,51.8028,5333.5172,3.45,5
Cavia_tschudii,1000,171.05,40.86583333,2237.754167,1.9,5
Cebus_albifrons,2509.68,917.69,1196.98,14592.7,1.01,0.67
Cebus_apella,2758.38,1000,1795.48,14731.4,1.05,0.55
Cebus_capucinus,3005.99,1350,945.93,18615,1.01,0.46
Cebus_libidinosus,2670.07,1000,1451.392,14963.608,1,0.62
Cebus_nigritus,2642.5,1000,1444.89616,15038.10384,1,0.6
Cebus_xanthosternos,2642.5,1000,1420.44808,15062.55192,1.05,0.6
Ceratotherium_simum,2285939.43,274482.35,2098.75,15786.25,1,0.42
Cercartetus_caudatus,23.05,8.97,388.96,703,2.37,2
Cercartetus_concinnus,15.96,7.155,360.63,3407.103335,4.6,1
Cercartetus_nanus,26.85,7.155,89.58,3607.42,3.96,2
Cercocebus_agilis,7105.62,2170,1170.7548,15254.0132,1,0.95
Cercocebus_chrysogaster,543.5,2170,350.39984,6778.575,1.93,1.62
Cercocebus_galeritus,7077.66,2170,2007.5,5292.5,1.01,1
Cercocebus_sanjei,7775,2170,1170.7548,15254.0132,1,0.95
Cercopithecus_doggetti,7066.5,2170,2137.08772,5162.68028,1.005,0.5
Cercopithecus_neglectus,5324.52,1640,1286.93,9537.45,1.02,1
Cervus_elaphus,240867.13,46900,889.07,10503.79,1.09,0.91
Cervus_nippon,52999.99,28590,897.3,8504.5,1,1
Chaetodipus_californicus,23.01,10.5,68.25,577.8586665,4,0.8
Chaetodipus_formosus,20.02,8,344,2226.5,5.28,1
Chironectes_minimus,974.33,70,196.04,848.3916665,3.24,1.1
Chiropodomys_gliroides,23.68,10,84.4175,1212.7125,1.65,0.8
Chiropodomys_pusillus,28.9,10,77.17594,1212.82406,2.17,0.8
Chlorocebus_aethiops,3695.99,1036.25,1515.99,9800.25,1,1
Chlorocebus_cynosuros,4550,1036.25,1597.561,11651.939,1,1
Chlorocebus_djamdjamensis,5104.25,1036.25,1106.11236,15471.14,1,1
Chlorocebus_pygerythrus,5104.25,1036.25,1106.11236,15471.14,1,1
Chlorocebus_sabaeus,5104.25,1036.25,1106.11236,15471.14,1,1
Chlorocebus_tantalus,5104.25,1036.25,1106.11236,15471.14,1,1
Civettictis_civetta,12075.58,1514,312.5,9824.59,2.31,2.25
Colobus_angolensis,8990.31,1240,1372.01634,11242.5,1.01,0.6
Colobus_guereza,9925.88,1386.37,1528.46,10858.75,1,0.59
Colobus_polykomos,8797.29,1240,2888.72,9271,1,0.55
