Species,BM,WM,DT,RLS,LS,LPY
Macaca_arctoides,9358.04,2300,1173.59,9398.75,1.01,0.61
Macaca_fascicularis,4569.32,851.28,1127.19,12824.28,1,1
Macaca_fuscata,10114.76,1767.5,1614.71,12172.75,1.02,1
Macaca_hecki,6768.75,2170,1519.50488,11636.91179,1,0.4
Macaca_leonina,7386,1416.5,1145.27612,12234,1,0.8
Macaca_maura,7290.3,1416.5,1327.84,10220,1.01,0.55
Macaca_mulatta,6455.19,1454,1155.84,13140,1.01,1
Macaca_nemestrina,7820.78,1416.5,1138.2,12293.2,1.01,0.85
Macaca_nigrescens,7603.39,1416.5,902.61352,12497.38648,1,0.85
Macaca_ochreata,2745.5,1416.5,1145.27612,12234,1,0.8
Macaca_pagensis,4534.66,1416.5,918.82,12496.88,1,0.85
Macaca_radiata,4999.99,2000,1127.75,9490,1.01,1
Macaca_siberu,7662.195,1416.5,1341.92978,10703.07022,1,0.7
Macaca_sylvanus,11471.53,2420,1536.27,8874.98,1.02,0.55
Macaca_thibetana,10593.06,2350,1038.89836,9496.37664,1.01,0.5
Macropus_agilis,11815.75,2286.7,88.88,5757.88,1.01,1.8
Macropus_antilopinus,27250.1,3621.705,362.66,8001.85,1,1.295
Macropus_fuliginosus,25564.7,9389.085,89.66,7859.67,1,1
Macropus_giganteus,33409.89,6062.015,301.78,8312.4,1,1
Macropus_parma,4156.62,754,87.87,5423.3,0.9,1.3
Macropus_robustus,25978.92,3621.705,180.81,8213,1,0.723287671
Macropus_rufogriseus,16850,2341.255,75.65,6433.13,1.01,1
Macropus_rufus,38968.39,5000,187.51,10402.5,1,1.36
Macruromys_elegans,56.035,15.41,14.17194,212.804,2.305,1
Madoqua_guentheri,4623.7,2825.5,54.901,6248.9,0.98,2
Madoqua_kirkii,4833.4,1780,459.29,5812.63,0.98,2
Mandrillus_sphinx,16685.06,3000,1111.99,15450.45,1.02,0.83
Manis_culionensis,300000,205000,511.5625,13693.4375,1,0.6
Manis_temminckii,11943.74,948.7,707.70994,397.6416665,1,1
Marmosa_mexicana,49.06,118,252.92,5089.371665,11.6,2
Marmosa_murina,36.28,118,252.92,5089.371665,8.4,2
Marmosa_quichua,518,118,252.92,5089.371665,5.5,3
Marmosa_robinsoni,60.57,10.74,200.095,1558.59,9.5,1.5
Marmota_flaviventris,3709.73,478.83,705,7008,4.66,1
Marmota_monax,3880.93,248,498.249408,4567.920592,4.1,1
Martes_americana,873.69,392,319.27,6570,2.6,1
Martes_martes,1299.99,680,310.81,6278,3.49,0.75
Mastomys_natalensis,41.85,12.685,68.1,989.3428065,9.23,2
Mazama_pandora,37992.005,14500,219.31314,4074.4303,1.575,1.05
Melomys_obiensis,71,38.345,88.69028,1417.22224,5.88,3.75
Mephitis_mephitis,2399.99,493.5,284.829056,4733.520944,5.7,2
Meriones_grandis,96,25,71.17398,1603.049187,2.075,3.82
Meriones_hurrianae,71.02,20.5,89.95416667,225.9396865,4.1,3.5
Meriones_libycus,91.33,45,61.07,1806.75,4.54,1
Meriones_shawi,90.6,25,99.96,1603.049187,5.84,3.82
Meriones_tristrami,111.62,25,71.17398,1603.049187,5.8,3.82
Meriones_unguiculatus,57.75,14.3,67.05,2208.5,5.01,3
Meriones_zarudnyi,137.8,25,71.17398,1603.049187,5.625,3.82
Mesembriomys_gouldii,716.49,440.5,21.57666667,2776.433333,1.87,4
Mesocricetus_auratus,98.6,22.93,54.95,1021.4,8.79,4
Mesocricetus_brandti,198,22.93,30,1556,9.01,3
Mesocricetus_newtoni,97.5,22.93,27.495,3602,8.69,3.75
Mesocricetus_raddei,105,22.93,27.495,3602,8.99,2
Mesoplodon_peruvianus,75000,39999.995,1542.29478,8646.78022,1,0.42
Micromurexia_habbema,26.25,13,227.195,1656.846667,7.5,1
Micropteropus_pusillus,25.38,20,294.61,1467.795,0.99,2
Microtus_agrestis,35.87,8.9,38.6,1699.5,4.65,3.5
Microtus_arvalis,26.9,8.9,31.82,1703,4.99,6
Microtus_californicus,57.42,18.28,48.94833333,736.6066665,4.41,5
Microtus_guentheri,49.99,15,169.1808333,1241.9125,6.14,6.5
Microtus_ilaeus,20,8.9,20.34712,1714,4.99,5.5
Microtus_irani,25.4,8.9,20.34712,1714,4.99,5.5
Microtus_levis,35.49,8.9,20.34712,1714,5.1,5.5
Microtus_limnophilus,23.16,15.6,16.73492,754.0984135,3,3.44
Microtus_mongolicus,33.1,15.6,16.73492,754.0984135,5.76,3.44
Microtus_montebelli,29.49,15.9,43.58333333,745.9733335,4.3,3.5
Microtus_ochrogaster,42.5,16.68,26.45,1887.05,3.87,4.07
Microtus_oeconomus,33.1,15.6,22,615,5.62,3.5
Microtus_oregoni,20.35,10,18.0275,424.3125,3.32,4.8
Microtus_paradoxus,25.4,8.9,20.34712,1714,5.1,5.5
Microtus_pennsylvanicus,42.53,13.37,32.08,441.6666667,5.16,2.7
Microtus_pinetorum,25.95,9.6,77.5575,1289.3625,2.47,2.5
Microtus_subterraneus,17.74,9.435,73.19083333,937.7458333,2.46,5.5
Miniopterus_fuscus,14.9,12.5,511,7453,0.99,1
Miniopterus_gleni,10.905,12.5,511,7453,1,1
Miniopterus_magnater,14.14,12.5,511,7453,1,1
Miniopterus_majori,11.46,12.5,606.25,7363.56,0.995,1
Miniopterus_manavi,11.46,12.5,606.25,7363.56,0.995,1
Miniopterus_medius,11.4,12.5,511,7453,1,1
Miniopterus_natalensis,10.43,12.5,606.25,7363.56,1,1
Miniopterus_schreibersii,11.46,12.5,663.47,4386.34,0.99,1
Miopithecus_ogouensis,7151.5,1416.5,918.82,12496.88,1,0.85
Miopithecus_talapoin,1248.86,450,1419.72,9679.8,1.01,1
Mirounga_angustirostris,1112390.81,129127.54,1432.63,5946.458333,1,1
Mirounga_leonina,1600000,124500,1437.07,6935,1,0.86
Monachus_schauinslandi,222999.99,62654.835,1787.87,9125,1,0.5
Monachus_tropicalis,158597.43,25000,1503.1515,11204.25,1,0.89
Monodelphis_domestica,93.45,20.65,133.01,2007.5,7.29,4
Monodelphis_maraxina,90,20.65,85.855,1242.946667,7.12,1.5
Monodelphis_umbristriata,99,20.65,85.855,2052.9,9,4
Mus_caroli,14.26,8.95,31.44108,2136.645,5.805,4.57
Mus_indutus,6.15,3.33,39,1509.5,4.76,4
Mus_macedonicus,20.5,8.95,31.44108,2136.645,6.07,4.57
Mus_mahomet,10,12.685,51.69844,989.3428065,8.595,2
Mus_minutoides,6.43,3.33,41.81,1507.5,4.18,4
Mus_musculoides,8.23,3.33,38.99958,1509.5,3.49,4
Mus_musculus,19.3,8.95,118,2050.5,5.54,4.5
Mus_neavei,20.5,8.95,31.44108,2136.645,6.07,4.57
Mus_orangiae,7.585,3.33,39,1509.5,4.18,4
Mus_phillipsi,7.585,3.33,39,1509.5,4.18,4
Mus_sorella,28.64,4.5,23.0885,1698.583333,6.315,3
Mus_spicilegus,19.9,8.95,42.79608,2125.29,6.69,4.5
Mus_spretus,16.67,8.95,20.29304,2148,5.15,4.57
Mustela_erminea,284.5,26.57,34.032816,4467.537184,6.74,1
Mustela_frenata,190.03,34.6,127.8908333,3049.879167,6.5,1
Mustela_nivalis,78.45,44.565,76.789264,3536.470736,5.07,1
Mustela_subpalmata,530.85,44.565,79.34698,4223.166667,6.48,1.5
Mylomys_rex,60.315,22.125,64.9244,1335.747227,3.665,3.635
Myocastor_coypus,6361.55,1750,266.54,4060.63,5.34,2.58
Myodes_californicus,18.3,10.89,105.0042,757.2976665,3.1,3.85
Myodes_centralis,21.15,9.62,50.4208,1723.907533,4.83,10
Myodes_gapperi,19.83,10.63,90.79666667,486.6666667,5.37,2.4
Myodes_glareolus,20.73,9.44,63.49,1711.485,4.31,3.5
Myodes_smithii,34.94,10,92.66,1157.5,4.1,3.7
Myoprocta_acouchy,954.87,350,223.835,5151.975,1.97,1
Myoprocta_pratti,966.73,350,183.65696,5167.52804,1.77,1
Myopus_schisticolor,29.99,14.345,40.97,304.17,5.25,2
Myotis_blythii,23.82,23.1,378.915,11624.09,0.98,1
Myotis_capaccinii,8.15,23.1,368.26,11634.745,0.99,1
Myotis_chinensis,41.99,23.1,408.805,7579.2,1.25,1
Myotis_daubentonii,7.63,5.49,515.285,9669.385,1.21,1
Myotis_dominicensis,5.3,3.7,63,8395,1,1
Myotis_fimbriatus,4.2,3.7,63,2457,1,2.75
Myotis_findleyi,23.41,23.1,368.26,11634.745,1,1
Myotis_fortidens,4.37,6.79,219.8,12164.7,0.98,1
Myotis_longipes,8.5,23.1,368.26,9490,1,1
Myotis_lucifugus,7.8,6.79,704,11680,1,1
Myotis_macrodactylus,7.48,23.1,368.26,11634.745,1,1
Myotis_macropus,23.41,23.1,368.26,11634.745,1,1
Myotis_myotis,25.59,23.1,688.01,12811.5,1.5,1
Myotis_nigricans,4.1,3.7,63,2457,1,2.75
Myotis_occultus,8.79,6.79,219.8,12164.7,1,1
Myotis_oxygnathus,21.23,23.1,378.915,11624.09,1,1
Myotis_punicus,4.91,23.1,378.915,11624.09,1,1
Myotis_ricketti,24.705,23.1,378.915,11624.09,1,1
Myotis_velifer,9.82,8.59,349.955,3742.495,0.99,1
Myotomys_unisulcatus,102.5,16.88,33.47,256.7766665,1.42,1
Myrmecophaga_tridactyla,29531.83,3499.99,1106.29,10128.75,1,1
Mystromys_albicaudatus,86.85,40,114,2153.5,3,3.55
Napaeozapus_insignis,22.25,8.9,220.51,1204.5,4.5,1.25
Nasalis_larvatus,12265.65,2000,1430.75,7519,1.02,0.67
Nasua_nasua,3775.5,730,860.8276,7676.5224,3.69,1
Neofelis_nebulosa,14945.05,5427.5,688.2883333,6427.041667,2.25,1
Neomys_fodiens,15.26,10,124.3475,971.8125,6.39,2
Neomys_teres,15.13,10,127.789,971.711,3.99,1.8
Neophoca_cinerea,189274.99,59724,552.81,7701.5,1.35,0.69
Neophocaena_phocaenoides,32500,24500,1769.3425,9956.2875,0.97,0.5
Neotoma_albigula,208.18,103.3,118.5833333,3315.416667,2.14,2
Neotoma_anthonyi,195.4,34.94,63.59,3737.91,2.92,3
Neotoma_bryanti,182,34.94,63.59,3737.91,2.92,3
Neotoma_bunkeri,375,34.94,63.59,3737.91,2.92,3
Neotoma_cinerea,285.89,100.195,326.1791667,742.4708333,3.45,1.5
Neotoma_devia,200,34.94,54.75,3747.16,2.1,3
Neotoma_floridana,249.16,64.3,105.9525,2995.7375,3.11,2.5
Neotoma_goldmani,198,103.3,60.64,3373.36,1.29,2
Neotoma_lepida,143.88,34.94,94.81416667,3704.445833,2.7,3.5
Neotoma_leucodon,237.49,103.3,60.64,1969.291667,4.315,2
Neotoma_magister,447,64.3,89.95822,3348.32322,2,2.25
Neotoma_martinensis,240.16,34.94,63.59,3737.91,2.92,3
Neotoma_micropus,255.14,90.725,106.4366667,1080.4,2.5,2
Neotoma_nelsoni,198,103.3,60.64,3373.36,2.14,2
Neotoma_palatina,198,103.3,60.64,3373.36,2.14,2
Neotoma_stephensi,149.22,34.99,252.3583333,3704.36444,1.06,1.9
Neovison_macrodon,49.75,44.565,79.34698,3530,5.085,1.5
Neovison_vison,925,110,205.2791667,3899.720833,4.5,1
Nesoryzomys_darwini,190.5,103.3,60.64,3373.36,2.14,2
Noctilio_albiventris,31.46,21,280.81,4674.791665,0.99,1
Noctilio_leporinus,29.93,21,280.81,4674.791665,1,1
Nomascus_gabriellae,5829.08,1070,2248.56058,17955.93714,1,0.475
Notomys_alexis,32.34,12.5,46.04166667,2259.958333,4.01,3.73
Nyctalus_furvus,14.235,20.21,370.075,6839,1.5,1
Nyctalus_montanus,19.375,20.21,370.075,7870.675,1.165,1
Nyctalus_noctula,28.48,20.21,317.11,4015,1.33,1
Nyctalus_plancyi,16,20.21,370.075,6839,1.5,1
Nyctereutes_procyonoides,4214.99,780,680.31,5329,6.36,1
Nycticebus_bengalensis,1137.36,520,442.34124,9053.09,1.035,1
Nycticebus_coucang,924.55,520,751.36,8739.93,1.12,1
Nycticebus_pygmaeus,342.32,520,401,9094.5,1.75,1
Nycticeius_aenobarbus,19.375,20.21,370.075,7870.675,1.165,1
Nycticeius_cubanus,5.69,3.555,76.5,8395,0.99,2.5
Nycticeius_humeralis,9.12,3.555,335.86,8395,1.94,1
Nyctophilus_geoffroyi,6.65,3.555,335.86,8395,1.47,1
Ochotona_argentata,1207.19,118.5,99,3454,5,3.9
Ochotona_princeps,157.63,81.12,320.9083333,2207.641667,2.88,2
Ochotona_rufescens,250,75.33,32.9225,1157.09222,6.05,4
Octodon_degus,203.27,71.2,288.162032,4790.717968,5.31,2
Odobenus_rosmarus,1042996.25,200000,1233.64,12775,1.22,0.5
Odocoileus_hemionus,84560.57,23500,474.01,7482.5,1.61,0.97
Odocoileus_virginianus,75901.25,33631.33,383.08,7932,1.57,1
Oenomys_hypoxanthus,89.84,30,86.49583333,731.86006,2.81,2
Oenomys_ornatus,85.5,30,86.54694,731.86006,3.365,2
Okapia_johnstoni,230001.14,77000,544.2816667,11501.75833,0.98,1
Ondatra_zibethicus,991.31,152.9,337.16,3285,6.55,2.43
Onychogalea_fraenata,4952.05,1566.44,32.61,2503.625,1,1.89
Onychomys_arenicola,30,11.225,60.04738,1962.0422,3.665,2.55
Onychomys_leucogaster,27.92,13.1,133.51,1887.67,3.84,3.8
Onychomys_torridus,21.68,11.225,101.8,1557.34,3.3,2.5
Orcaella_brevirostris,189999.99,45000,1354.621,9124,1,2
Orycteropus_afer,56175.2,6250,1054.08,9782,1.1,1
Oryctolagus_cuniculus,1590.57,212.53,95.36,6448.34,5.24,4.5
Oryzomys_couesi,69.29,22.12,38.71904,814.82696,3.63,5.5
Oryzomys_emmonsae,22.65,9.095,48.58588,2849.08412,4.345,3.9
Oryzomys_laticeps,49.11,34.99,24.632,1403.108333,4.02,5.995
Oryzomys_maracajuensis,22.65,9.095,48.58588,2849.08412,4.345,3.9
Oryzomys_megacephalus,57,34.99,24.632,1324.645833,3.72,6.06
Oryzomys_nitidus,55.19,34.99,24.632,1403.108333,4.02,5.995
Oryzomys_palustris,53.26,22.12,42.70166667,812.7333333,4.08,5.5
Oryzomys_perenensis,50.825,34.99,24.632,1403.108333,4.02,5.995
Oryzomys_rhabdops,50.825,34.99,24.632,1403.108333,4.02,5.995
Otolemur_crassicaudatus,1206.61,500,674.73,7486.15,1.14,1
Otolemur_garnettii,811.17,108.335,437.5,6102.8,1.02,1.36
Otolemur_monteiri,1577.16,500,471.98492,7675.64,2.1,1
Otomys_anchietae,89.99,30,85.01204,571.2830665,1.715,4
Otomys_angoniensis,100.64,30,69.2172,586.9894665,2.86,4
Otomys_barbouri,114.45,30,85.01204,571.2830665,1.715,4
Otomys_burtoni,114.45,30,85.01204,571.2830665,1.715,4
Otomys_cuanzensis,114.45,30,69.2172,586.9894665,1.78,4
Otomys_dartmouthi,130.65,30,69.2172,586.9894665,2.86,4
Otomys_dollmani,114.45,30,78.36844,577.9266665,1.6,5
Otomys_irroratus,114.45,30,69.165,587.0416667,1.65,3.75
Otomys_jacksoni,114.45,30,78.36844,577.9266665,1.65,4.25
Otomys_lacustris,114.45,30,85.01204,571.2830665,1.6,5
Otomys_laminatus,150,30,85.01204,571.2830665,1.715,4
Otomys_maximus,192,30,69.2172,586.9894665,3.7,4
Otomys_orestes,114.45,30,85.01204,571.2830665,1.715,4
Otomys_saundersiae,114.45,30,78.36844,577.9266665,1.675,4.25
Otomys_tropicalis,114.45,30,85.01204,571.2830665,1.29,4
Otomys_uzungwensis,114.45,30,69.2172,586.9894665,2.32,4
Ovibos_moschatus,312500,62467.44,1023.02,7482.5,1.01,0.75
Ovis_aries,39097.89,17500,547.5,7592,1.19,1
Ovis_canadensis,74644.87,28000,170.7,8458.5,1.16,1
Ovis_dalli,70194.13,28000,608.34,4380,1.22,0.75
Ovis_nivicola,90000,28000,566.732,8041.268,1,1
Oxymycterus_dasytrichus,49.91,34.99,85.12926,1023.12328,4.585,2.6
Pagophilus_groenlandicus,132250,32788.565,1503.3,13815.25,1,1
Pan_paniscus,35119.95,8325,2203.69,16790,1.01,0.22
Pan_troglodytes,45000,8500,3812.69,17009,1.05,0.2
Panthera_leo,158623.93,8480,849.69,9902.45,2.75,0.66
Panthera_onca,83943.09,5033.5,925.0166667,9138.383333,1.96,0.5
Panthera_pardus,52399.99,1940,1023.47,8707.99,2.14,1
Panthera_tigris,161914.66,11003,1098.11,8382.84,2.6,1
Papio_anubis,17728.56,3640.26,1642.5,7555.5,1.01,0.8
Papio_cynocephalus,15822.15,3624.895,1557.08,14417.5,1.01,0.805
Papio_hamadryas,14007.08,3950,1555.94,14505.1,1.01,0.8
Papio_papio,18026.05,3624.895,1332.89,14772.63,1.01,0.81
Papio_ursinus,17729.44,3624.895,462.46,15085.45,1.01,0.8
Paracrocidura_graueri,15.13,10,127.789,971.711,5.53,1.8
Parascalops_breweri,51.11,34.77,289.135,1505.625,4.49,1
Pardofelis_marmorata,2826.68,1940,827,9027.5,2,1
Pecari_tajacu,21133.69,4881,302.75,11147.5,1.56,2
Pedetes_capensis,2549.25,1300,988.5566667,6265.833333,0.98,3.6
Pedetes_surdaster,120.975,1300,988,6281.208335,3.23,3.6
Perameles_bougainville,230.8,100,58,1997,2,2
Perameles_gunnii,903.46,130.945,61.7572,2104.7528,2.31,3.8
Perameles_nasuta,720.26,128.03,54.67,1922.34,2.43,2.92
Perognathus_inornatus,10.16,4,130.7733467,2890.80556,4,2
Perognathus_longimembris,8.07,4,132.1966667,2890.8,4.45,1
Peromyscus_attwateri,27.9,10.5,21.91448,1921.69368,3.53,3.7
Peromyscus_bullatus,40,10.5,12.46,1928.54,3.49,3.4
Peromyscus_californicus,42.68,18.6,15.795,1961.875,1.94,4.37
Peromyscus_crinitus,16.32,14.09,90.76083333,2695.829167,3.08,2.05
Peromyscus_difficilis,27.95,10.5,15.98068,1928.54,3.88,3
Peromyscus_gossypinus,27.68,9.24,28.77,420.3583333,3.7,4
Peromyscus_gratus,27.35,10.5,12.46,1928.54,3,3.4
Peromyscus_keeni,28.25,8.95,37.38294,2981.708727,5.99,2
Peromyscus_leucopus,18.07,9.095,84.96,2777.05,4.27,4.5
Peromyscus_maniculatus,19.98,8.95,64.23,2954.825,4.76,2.6
Peromyscus_melanotis,39.59,8.95,37.38294,2981.708727,3.69,7.5
Peromyscus_nasutus,28,10.5,15.98068,1928.54,5,3
Peromyscus_pectoralis,38.99,10.5,12.46,1928.54,3.88,1
Peromyscus_polionotus,14.27,6.72,5.8725,1977.3875,3.59,2
Peromyscus_sejugis,21.5,8.95,37.38294,2981.708727,4.615,3.55
Peromyscus_slevini,23.9,8.95,26.20448,494.51184,3.185,3
Peromyscus_stephani,20.5,8.95,37.38294,2981.708727,4.615,3.55
Peromyscus_truei,27,10.5,3.611666667,1935.108333,3.49,3
Petauroides_volans,1257.17,436.93,501.59,4745,1,1
Petaurus_australis,567.15,285,581.93,5110,1.24,1
Petaurus_biacensis,90.98,33,157.69,6218.985,1.45,1.3
Petaurus_breviceps,120.76,33,284.37,6093.98,1.82,1.3
Petaurus_gracilis,360.63,65,334.6,4948.441665,1.75,1.28
Petrogale_assimilis,4618.88,734.99,301.06,4149.75,1,1.49
Petrogale_concinna,1398.2,272.47,317.6,5696.25,1,1
Petrogale_herberti,3499.99,734.995,275.385,1181.5,1,1.48
Petrogale_lateralis,4567.88,734.995,258.5,4716,1,1.48
Petrogale_penicillata,6931.6,734.995,275.385,4699.115,1,1.825
Petrogale_purpureicollis,6465.8,734.995,275.385,4699.115,1,1.48
Petrogale_xanthopus,8499.99,2040.565,199.25,4714.7,1.02,1.5
Phascogale_tapoatafa,192.65,44,215.71,1791.261667,6.79,1
Phascolarctos_cinereus,6528.74,1155,382.47,7336.5,1.01,1
Phenacomys_intermedius,25.2,15.28,18.07,1411,4.66,3
Phenacomys_ungava,27,12.64,20.16083333,1421.979167,4.8,2.65
Philander_andersoni,324.99,62.5,167.52,595.98,3.82,3
Philander_frenatus,45.5,78.955,136.895,1392.376667,4.675,2.5
Philander_mcilhennyi,365.5,62.5,167.52,595.98,3.82,3
Philander_opossum,425.81,78.955,163.56,1362.67,4.75,3
Phoca_largha,98879.18,23945,1249.66,11683.95417,1,1
Phoca_vitulina,87316.66,23945,1064.26,16279,1,1
Phodopus_campbelli,27.06,14.3,98,608.3333333,8.47,3.5
Phodopus_roborovskii,12.02,18.1,224.1708333,1508.666667,6.28,3.5
Phodopus_sungorus,30.43,14.3,119,1284.5,5.48,3
Physeter_catodon,14540959.82,1340000,2748.456667,24961.13333,0.99,0.25
Pipistrellus_paterculus,3.34,1.5,8.77,2060.541667,1.92,3
Pipistrellus_pipistrellus,5.3,3.89,414,5639.5,1.37,1
Pipistrellus_pygmaeus,5.86,3.89,414,5639.5,1.2,1
Pipistrellus_sturdeei,5,3.89,414,5639.5,1.2,1
Pipistrellus_subflavus,5.74,4.89,197.555,5246.235,1.96,1
Planigale_gilesi,9.34,4.93,151.465,1590.015,5.23,2
Planigale_maculata,12,3.525,219.28,1827,7.64,2
Planigale_tenuirostris,6.27,2.515,145.27,1658,5.99,2
Plecotus_auritus,8.19,5.7,687.91,10220,1.22,1
Plecotus_austriacus,6.75,5.7,309.62,10598.335,1.275,1
Plecotus_kolombatovici,3.34,1.5,8.77,10598.335,1.92,3
Plecotus_teneriffae,8.19,5.7,309.62,10598.335,1.275,1
Podomys_floridanus,30.74,12.5,15.36,2666.723333,2.6,3.71
Poecilogale_albinucha,308.16,50,362.3525,1459.0875,2.23,1.5
Pongo_abelii,39696.12,11000,1848.01,18963.19,1.14,0.22
Pongo_pygmaeus,53408.29,11000,2502.8,18308.4,1.07,0.22
Potorous_gilbertii,1569.46,160.73,215.295,5113.666665,1,2
Potorous_longipes,1835.06,699.015,644.28,4782.261665,1,1.72
Potorous_tridactylus,1054.67,160.73,231.88,4893.29,1,2
Praomys_delectorum,35.99,10.5,49.2,1823.8,3.88,4
Praomys_jacksoni,39.01,10.5,42.0875,1823.8,3.67,4
Praomys_lukolelae,42.2,10.5,56.91532,1816.12716,3.5,4
Praomys_minor,95.195,10.5,49.2,1823.8,2.175,4
Praomys_misonnei,37.1,10.5,49.2,1823.8,3.5,4
Praomys_rostratus,38.86,10.5,56.91532,1816.12716,3.49,4
Praomys_tullbergi,37.1,10.5,90.33,1783.17,3.36,4
Praomys_verschureni,36.97,10.5,56.91532,1816.12716,3.5,4
Prionailurus_bengalensis,2780.97,620,538.4666667,5641.683333,2.5,1.64
Prionailurus_iriomotensis,4150,620,518.9338,5126.541665,2.5,1.64
Procavia_capensis,2952.48,500,2099.01,3212,2.5,1
Procyon_lotor,6373.72,1175,240.993312,7319.846688,3.06,1
Psammomys_obesus,102.15,40,272.38,871.44,3.49,3.44
Psammomys_vexillaris,177.33,40,72.91196,1068,3.5,3.44
Pseudocheirus_peregrinus,895.22,333.19,167.86,3321.5,1.89,1.5
Pseudochirulus_cinereus,977.48,280,484.1875,4835.8125,2,1
Pseudochirulus_herbertensis,1098.34,117.5,327.57,1735.26,1.89,1.05
Pseudomys_albocinereus,30.5,16.34,46.46166667,893.5766665,3.89,1
Pseudomys_australis,52.97,12.5,83.29583333,2774.304167,3,1
Pseudomys_calabyi,177.33,40,72.91196,1068,3.5,3.44
Pseudomys_oralis,95,12.5,119,2738.5,2.5,1
Pudu_puda,9642.62,2863.2,119.5375,7490.7125,1.22,1
Puma_concolor,53954.05,3500,575.08,8063.46,2.76,0.75
Pusa_caspica,62326.2,23945,2158.68,16060,1,0.5
Pusa_hispida,70963.6,14000,2203.474167,14541.29583,1,0.8
Pusa_sibirica,89499.99,66900,1694.406667,18679.48333,1,1
Rangifer_tarandus,109088.5,24900,591.482624,7228.647376,2,0.91
Rattus_andamanensis,197.97,39.69,76.55752,1430.355,10,4.28
Rattus_argentiventer,165.37,39.69,63.91252,1443,9.85,4.29
Rattus_blangorum,56.385,39.69,76.55752,1430.355,2.15,4.28
Rattus_burrus,142.68,39.69,76.55752,1430.355,5.88,4.28
Rattus_exulans,50.63,22.125,145.55,237.075,3.7,3.9
Rattus_fuscipes,124.58,21.28,111.49,1797.63,4.58,3.3
Rattus_lugens,107.5,39.69,76.55752,1430.355,5.95,4.28
Rattus_lutreolus,106,25,87,1494,4.45,2.4
Rattus_norvegicus,282.89,63.75,65.88,1295.75,8.99,3.5
Rattus_pococki,200,39.69,76.55752,1430.355,5.95,4.28
Rattus_rattus,142.68,39.69,115.14,1389.86,5.88,3.75
Rattus_satarae,200.89,105.19,81.92754,1430.355,3.45,4.28
Rattus_simalurensis,200,39.69,76.55752,1430.355,5.95,4.28
Rattus_stoicus,142.68,39.69,76.55752,1430.355,5.88,4.28
Rattus_tanezumi,140.84,39.69,76.55752,1430.355,5.95,4.28
Rattus_tiomanicus,119.29,39.69,76.55752,1430.355,3.87,4.28
Ratufa_macroura,1326.24,100,667.01,5419.09,3.49,1.5
Redunca_fulvorufula,29352.66,8635.5,312.08,5080.8,1,1.09
Rhabdomys_dilectus,197.97,8.43,40.17608,1588.32392,6,4
Rhabdomys_pumilio,40.73,8.43,76.62,1551.88,5.28,7
Rhinoceros_unicornis,1843655.8,885812,2279.4,15266.13,1.41,0.3
Rhinolophus_rouxii,12.25,11,675.64,1089.94,0.99,1
Rhinolophus_sinicus,21.23,11,391.69,1373.89,0.99,1
Rhinolophus_subbadius,10.255,11,391.69,1373.89,0.99,1
Rhogeessa_aeneus,9.195,5.7,309.62,10598.335,1.275,1
Rhynchocyon_chrysopygus,535.2,180,24.02083333,3976.979167,1.22,4.5
Rhynchomys_soricoides,45.865,8.43,40.17608,1588.32392,6,4
Romerolagus_diazi,465.58,96.345,163.8275,3153.33006,2.1,1
Rousettus_aegyptiacus,134,73.8,351.25,8668.75,1.07,2
Rousettus_leschenaultii,84.88,37,226.47,4873.88,1.01,2
Saccopteryx_bilineata,8.08,6.23,305.01,1825,0.99,1
Saguinus_geoffroyi,492.5,105,491.8375,6935,1.97,1.175
Saguinus_graellsi,2642.5,1000,1420.44808,15062.55192,1.05,0.6
Saguinus_martinsi,450,175,768.2728,6522.55,1.8,2.9
Saguinus_nigricollis,450,175,767.92,6522.55,1.82,2.9
Saguinus_oedipus,462.04,105,893.06,8620.09,1.9,1
Saiga_borealis,97842.2,14500,219.31314,4074.4303,1.575,1.05
Saiga_tatarica,37734.01,14500,194.85672,4101.50328,1.5,1
Saimiri_boliviensis,799.45,410.5,913.58878,9968.91122,1.02,1.07
Saimiri_sciureus,749.47,410.5,895.84,9949.75,1,1.33
Saimiri_vanzolinii,783.77,410.5,913.58878,9968.91122,1.02,1.07
Sarcophilus_harrisii,8202.25,850,487.23,4035.731665,2.88,1
Sciurus_aberti,624,354.995,286.5085,2192.408167,3.255,1.5
Sciurus_carolinensis,545.4,200,295.53,8395,2.98,2
Sciurus_flammifer,624,354.995,286.5085,2192.408167,3.255,1.5
Semnopithecus_ajax,9875,2100,1130,8315.916665,1,1.005
Semnopithecus_dussumieri,12679.29,2100,887.51376,9448.45596,1.02,0.7
Semnopithecus_entellus,12679.29,2100,933.8,9249.1,1.02,0.67
Semnopithecus_hector,12679.29,2100,887.51376,9448.45596,1.02,0.7
Semnopithecus_hypoleucos,10026.65,2100,887.51376,9448.45596,1.02,0.7
Semnopithecus_priam,12679.29,2100,887.51376,9448.45596,1.02,0.7
Semnopithecus_schistaceus,12679.29,2100,887.51376,9448.45596,1.02,0.7
Setonix_brachyurus,3027.67,499.995,102.38,4626.38,1,1.4
Sigmodon_alleni,174.09,19.8,30.095,1852.905,5.44,2
Sigmodon_arizonae,198,19.8,25,1858,5.44,2
Sigmodon_hirsutus,146,19.8,25,1858,3.63,2
Sigmodon_hispidus,110.65,19.8,49.71,1833,5.44,2
Sigmodon_mascotensis,120,19.8,25,1858,5.44,2
