Species,Binomial2,Order,Over500gr,Family,NeoBrain,NeoBody,AdultBrain,AdultBody,Gestation,GenTime,RefBrain,RefBody,RefGestation,BrainRatio,BodyRatio
Tupaia_glis,Tupaia_glis,Others,Others,Tupaiidae,0.53,9.2,3.15,148,46,0.336,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.168253968,0.062162162
Tursiops_truncatus,Tursiops_truncatus,Artiodactyla,Cetaceans,Delphinidae,770,20000,1600,165577,360,9.191,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.48125,0.120789723
Urocyon_littoralis,Urocyon_littoralis,Carnivora,Others,Canidae,3.41,100,37.3,1897,54,0.99,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.091420912,0.052714813
Ursus_americanus,Ursus_americanus,Carnivora,Arctoids,Ursidae,6.43,293.99,233.88,97051,214,3.968,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.027492731,0.003029232
Ursus_arctos,Ursus_arctos,Carnivora,Arctoids,Ursidae,7,361,400,111944,219,3.638,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.0175,0.003224827
Ursus_maritimus,Ursus_maritimus,Carnivora,Arctoids,Ursidae,11.1,590,500,272270,240,5.069,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.0222,0.002166967
Varecia_variegata,Varecia_variegata,Primates,Others,Lemuridae,10.6,107.5,34.2,3388,102,1.922,"Harvey & Clutton-Brock, 1985",Barton & Capellini 2011,"Harvey & Clutton-Brock, 1985",0.30994152,0.031729634
Vicugna_vicugna,Vicugna_vicugna,Artiodactyla,Others,Camelidae,104,6082.92,198,37497,345,2.579,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,PanTHERIA,0.525252525,0.162224178
Vulpes_vulpes,Vulpes_vulpes,Carnivora,Others,Canidae,3.82,105,48,3899,52,0.88,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.079583333,0.026929982
Zalophus_californianus,Zalophus_californianus,Carnivora,Arctoids,Otariidae,180,6000,363,95719,343,5.544,"Sacher & Staffeldt, 1974",Barton & Capellini 2011,"Sacher & Staffeldt, 1974",0.495867769,0.06268348
